"idcom";"medIncome_EMP";"medIncome_OUV";"medIncome_INT";"medIncome_ART";"medIncome_CAD";"avgIncome_EMP";"avgIncome_OUV";"avgIncome_INT";"avgIncome_ART";"avgIncome_CAD";"stdIncome_EMP";"stdIncome_OUV";"stdIncome_INT";"stdIncome_ART";"stdIncome_CAD";"share_EMP";"share_OUV";"share_INT";"share_ART";"share_CAD";"distribution";"optgaussian";"optlognormal";"year"
"75111";17649.7833517324;26583.2333346113;26862.4108961774;27543.7121279658;27767.8900625926;68471.4848320634;29379.4991928813;46385.0239191125;30457.0512461123;31209.4405655337;256655.263731262;13825.3225120013;65297.714367607;14374.0038960078;16012.6323450549;0.442147475418976;0.0728477531282502;0.184553359853318;0.256092984356068;0.044358427243387;"lognormal";-3.09202551298208e-11;-9.9522548237601e-14;2011
"75112";21105.2360323148;27482.4432688065;30129.4673750505;47133.0551725063;54249.9322370064;102105.68090146;30594.1226731779;125476.095733473;64896.2035843449;66420.4452218081;483312.457317683;14965.1319565076;507264.853151226;61421.3564191713;46919.9304805043;0.250486286714647;0.449292452830189;0.194210756662128;0.0370064189846333;0.069004084808403;"lognormal";-1.66976376999496e-11;-6.74618312182997e-13;2011
"75113";21778.8496526463;23636.075834843;24988.3267251797;35085.424427666;42873.4989008824;121238.971598317;134895.64470028;27530.477488443;42629.694363572;50585.1360453579;663937.01188585;757965.304077802;12730.1826302888;29420.2833795426;31675.0277946686;0.242590345338242;0.247660379686954;0.390289804397458;0.0835887204590798;0.0358707501182665;"lognormal";-1.27114860587462e-11;-1.44295214291433e-12;2011
"75114";24200.5987193969;25793.0703108926;27003.7109257226;30448.9161739086;31070.3766409139;72455.0743616289;75801.6925096553;29143.6204039925;38847.1186657309;35805.8655829995;204467.916263355;209475.852131234;11829.9337395864;30777.5706521234;20508.1272517628;0.463740356477787;0.0621574886938015;0.234690077148178;0.0384277733439745;0.20098430433626;"lognormal";-1.88717167678582e-11;-3.9975476761753e-13;2011
"75115";25365.9741376086;29091.3131542107;33409.0785433317;33863.4141029538;37481.9425079046;86779.2727666027;31436.4234658052;42642.2981730674;40207.5344776818;44280.1443818597;283913.542834643;12874.4492677106;33822.5407207803;25738.6854332069;27852.2285640246;0.490587642559428;0.231255439014336;0.180987495992305;0.0554359608543642;0.0417334615795661;"lognormal";-3.21004564957857e-11;-4.2371804676581e-13;2011
"75116";17886.3212629035;30978.7000533723;33910.7211883766;37581.2079122489;46195.0557306211;64277.5018464994;80811.9712699048;41186.0042855349;47156.9905801772;72582.3509842536;221868.677337606;194704.052772733;28388.8684971918;35743.9135354049;87962.971819053;0.48379943942697;0.19620056057303;0.185686701962006;0.0891809405169729;0.0451323575210215;"lognormal";-3.04998581543409e-11;-1.54623202984169e-13;2011
"75117";21382.2100524277;23816.5266855322;27657.7350180647;33249.4846156093;34276.4770065164;52491.8390594474;47462.3811078649;30120.3510360156;38421.8342742805;40055.5549989865;117688.103634874;81814.2814250376;12990.4245037438;22248.9649982382;24220.5419179578;0.466535743165898;0.217588557146008;0.189538022074962;0.0557545079341742;0.0705831696789574;"lognormal";-3.03747936759293e-11;-2.23615991131977e-13;2011
"75118";15741.1607155602;19938.0957599913;22795.9800899311;24772.3323197024;29097.9059876906;51648.6711434778;74600.0757754361;24737.8923015077;27317.0304533925;32405.7504488028;161403.234294963;268968.777954759;10426.0744027602;12695.7758852165;15884.8586572502;0.230222069498733;0.362888192087969;0.242747304669043;0.0441218160731927;0.120020617671062;"lognormal";-1.46908521952361e-11;-6.33529489759413e-13;2011
"75119";19254.6078580559;20989.8905809648;24018.0969338738;26105.1960779336;30192.8730461548;81513.0490117962;90854.9019694993;26215.6573208252;31586.4914531288;37469.1280074874;335314.366766828;382627.289033276;11468.0713305719;21516.550786928;27535.6617605044;0.276629505223896;0.257124899540462;0.301151936035609;0.118449522945989;0.0466441362540441;"lognormal";-3.2609023283231e-12;-3.95733778732454e-13;2011
"75120";20995.2646600348;21763.8168102973;23192.598499675;25230.0228484614;26003.9980882349;101658.316847058;29562.2147694842;160977.621553351;27975.5794535342;29554.2144840642;481613.89020982;27175.2436394188;1105673.26049353;13401.5592223615;15961.7623557016;0.261550545185733;0.0379966734429865;0.258815376085751;0.321807429310663;0.119829975974866;"lognormal";-2.12423441882348e-12;-3.68012800394955e-13;2011
"77005";23289.6347101845;40761.6281610441;53365.604614515;55967.3914755017;75405.700005167;23289.6347101845;40761.6281610441;53365.604614515;55967.3914755017;75405.700005167;9972.95098637696;6727.52931819534;4207.11311815727;5696.07280715002;6634.26910770428;0.318284424379232;0.227990970654628;0.072234762979684;0.142212189616253;0.239277652370203;"gaussian";-2.93138945894182e-12;-5.6425346233912e-12;2011
"77014";19399.76473267;24338.4459285366;25168.3819723543;26898.1649567623;28173.3851502075;38504.3443920487;37693.8538718404;32075.2987081454;31083.1753692808;31857.4040672251;66014.0998098468;44577.4497371715;25340.8570224948;18000.9374475719;16815.8685518791;0.158040530689605;0.285318559556787;0.0320746464499198;0.220731885114448;0.30383437818924;"lognormal";-2.27463942344843e-12;-6.23673612150156e-13;2011
"77018";20679.397144216;31976.7109275761;42607.3012652847;55150.573349729;66332.9607272371;20679.397144216;31976.7109275761;42607.3012652847;55150.573349729;66332.9607272371;8673.43847021675;4680.65603083259;7554.56176916004;4150.95918847437;6473.78071324692;0.339487179487179;0.04;0.302564102564103;0.105641025641026;0.212307692307692;"gaussian";-1.02681675085815e-13;-2.21292771425461e-12;2011
"77040";35791.2145849759;46841.0621655327;54125.294252309;54211.1254522745;57397.7022013563;36888.5848295251;76307.5467697371;87614.359714233;54840.0676061352;84880.1178930106;9204.47469374013;98134.0394086695;111524.996773934;8377.80254610792;92471.4187507677;0.159828536436007;0.228413962033068;0.294549908144519;0.244335578689528;0.0728720146968769;"lognormal";-1.0627657594427e-11;-4.20304301232151e-12;2011
"77042";20805.8325951577;33321.3161482626;44524.7408922291;48732.9216374123;63134.0954241819;20805.8325951577;33321.3161482626;44524.7408922291;48732.9216374123;63134.0954241819;8262.96398163593;4988.610663791;4964.54684092429;6952.64525516432;2477.41596366256;0.314547837483617;0.233289646133683;0.0530799475753604;0.296854521625164;0.102228047182176;"gaussian";-1.08249212365693e-13;-1.20703147621161e-11;2011
"77048";18212.7649567892;31847.2773934114;48649.0550763618;62984.2197168831;79065.7954232723;18212.7649567892;31847.2773934114;48649.0550763618;62984.2197168831;79065.7954232723;9186.67918749427;5296.03073446706;4408.14979659554;3166.53312226236;6386.64469307971;0.272564789991063;0.193923145665773;0.240393208221626;0.119749776586238;0.173369079535299;"gaussian";-8.53754434689243e-13;-1.73476503660741e-11;2011
"77051";17559.9627229164;18917.846835227;19799.0838316343;32838.6813046998;33335.8473120346;18172.1612834695;63435.2942658108;45502.5241538006;58470.1350411783;34709.1268905458;4840.14710640303;203031.987239228;94155.9913141765;86137.3216660421;10064.9054317139;0.330858960763521;0.190880169671262;0.0434782608695652;0.379639448568399;0.0551431601272534;"lognormal";-6.41979064826505e-11;-3.97794835972902e-11;2011
"77053";17149.5904695515;30687.1569381542;40780.3165908919;45546.1840881135;58257.5078219976;17149.5904695515;30687.1569381542;40780.3165908919;45546.1840881135;58257.5078219976;6907.60873807307;7696.10510043164;2714.5008286536;5417.58350626152;5702.16955868861;0.300084327189495;0.296229369955427;0.0487893024936755;0.155523430911938;0.199373569449464;"gaussian";-1.38921440882889e-13;-3.05470007748007e-12;2011
"77055";19226.6970846476;23865.970285491;31513.8626572589;38044.4622500074;53551.4850720492;19226.6970846476;23865.970285491;31513.8626572589;38044.4622500074;53551.4850720492;7821.94966093552;5137.33267205105;2741.57516881826;6985.92235541157;7067.48747050418;0.354853692522062;0.0956804458894566;0.0422666047375755;0.29493729679517;0.212261960055736;"gaussian";-6.45686575380971e-14;-3.08874506766664e-12;2011
"77058";26145.2771617437;27493.0394357643;28628.8788721676;29146.3610080843;42126.4573851828;34852.7919277402;35268.5623234463;42746.0949544752;44448.8445968086;47712.2427102216;30721.9994489458;28338.4970223137;47395.7736994112;51177.8290501582;25371.6517864849;0.283670868148987;0.0949582212151253;0.304560260586319;0.0427701458716896;0.274040504177879;"lognormal";-2.12886773525404e-12;-8.0701920717077e-13;2011
"77061";16588.964785705;28603.0126709482;33387.4574691182;40461.0144675788;51129.7812245345;16588.964785705;28603.0126709482;33387.4574691182;40461.0144675788;51129.7812245345;6303.81390522406;2652.17415405396;7724.28798315431;4715.01366777455;6191.26356761685;0.333333333333333;0.0476190476190476;0.275510204081633;0.0850340136054422;0.258503401360544;"gaussian";-1.70450445056764e-13;-8.41066665421582e-12;2011
"77067";28212.4542680563;38563.117525926;40548.8220381118;40568.5361194115;53381.8073249674;34589.4293475214;52489.334989511;52868.7135567625;57429.8970013407;54865.1351475749;24535.5740685879;48468.6970354425;44232.1597669878;57544.6003632147;13023.5556580073;0.235073753219387;0.110278623273238;0.0316085225942402;0.385623975649731;0.237415125263404;"lognormal";-1.17120322843906e-11;-8.31549380504165e-12;2011
"77069";20332.2464041199;37190.7442436615;48978.359005156;56538.0336339578;74348.6140614024;20332.2464041199;37190.7442436615;48978.359005156;56538.0336339578;74348.6140614024;8869.89958930469;4883.90941447563;2887.60634488435;6624.42690882343;4873.51588493371;0.291462217860648;0.203140333660451;0.0736015701668302;0.203140333660451;0.228655544651619;"gaussian";-4.94125754197118e-13;-1.33969704807736e-11;2011
"77079";18656.7684514753;19223.965473555;24408.5658241029;26524.1862019416;33205.5034373703;18809.562936714;60616.5057668998;27310.3588669122;30339.8606045957;54952.3388977042;2412.21885424169;181267.734111986;13707.0218657345;16849.0744457252;72461.0500249026;0.0854489164086687;0.229721362229102;0.280804953560371;0.0362229102167183;0.367801857585139;"lognormal";-1.55813994007685e-11;-8.56023176384285e-12;2011
"77083";16755.4644775934;28546.9047816992;33469.5193134939;45821.3488307429;63017.7531900133;16755.4644775934;28546.9047816992;33469.5193134939;45821.3488307429;63017.7531900133;8366.85902109255;6897.60761710732;4936.5253928741;8372.53984666638;5734.73235777043;0.321144550132543;0.202089505691564;0.0393731482925308;0.283018867924528;0.154373927958834;"gaussian";-1.56981353232682e-12;-2.73219117330497e-12;2011
"77085";30466.2486519839;33560.9001031976;37806.5066422586;40678.5675004084;57644.3929954688;77097.7225082692;36360.1084377925;38297.9482893681;114651.703097092;58863.3378330184;179223.746523147;15156.9920538845;6195.12362589334;302120.310953994;12169.0650534046;0.110415035238841;0.281127642913078;0.0352388410336727;0.220830070477682;0.352388410336727;"lognormal";-1.31802320026785e-11;-6.68956986791285e-12;2011
"77088";19273.2680667535;32702.7304657542;44879.8986853643;44912.0583370095;58031.4218523093;19273.2680667535;32702.7304657542;44879.8986853643;44912.0583370095;58031.4218523093;9826.85460292765;6313.86701219197;4177.56825874351;4477.44834235223;5463.70997684521;0.377112135176651;0.224270353302611;0.0499231950844854;0.115207373271889;0.233486943164363;"gaussian";-2.33593544300259e-12;-2.75143568932249e-12;2011
"77096";24555.36034008;46016.3145405532;60906.7995263457;68217.8839135442;84462.228106383;24555.36034008;46016.3145405532;60906.7995263457;68217.8839135442;84462.228106383;9956.45047236203;7624.92682856348;6397.3830093248;5271.16556042279;4756.895797177;0.33439744612929;0.296887470071828;0.106943335993615;0.16999201915403;0.091779728651237;"gaussian";-2.32012986007218e-12;-6.50689823774e-12;2011
"77099";15027.8255935049;27745.4469459545;28392.3253692507;41348.9374637749;52698.6356205294;15027.8255935049;27745.4469459545;28392.3253692507;41348.9374637749;52698.6356205294;6518.36062549433;1847.94282790745;7299.12562869962;6213.35344769177;3432.13065615367;0.35423197492163;0.0564263322884013;0.263322884012539;0.225705329153605;0.100313479623824;"gaussian";-2.13079238420697e-13;-1.50012607383431e-11;2011
"77100";21834.0690821467;39671.5878636644;49093.2465183349;52796.8195952833;63031.8001895572;21834.0690821467;39671.5878636644;49093.2465183349;52796.8195952833;63031.8001895572;9906.58185436572;7988.70580212169;4937.18966396652;7724.38333185631;5718.52647192886;0.347358997314235;0.282900626678603;0.124888093106535;0.0371530886302596;0.207699194270367;"gaussian";-1.98244131477274e-12;-2.03479216245336e-12;2011
"77107";19324.1933096032;30638.8180440379;46443.2917211926;52182.7044816054;55513.1907960516;21578.5860715873;43517.7957609893;48879.6452671511;215845.206433612;84087.0997523749;10722.9137208447;43894.5421383504;16038.8754442268;866324.16419116;95666.7834994527;0.284658040665434;0.245841035120148;0.245841035120148;0.129390018484288;0.0942698706099815;"lognormal";-2.66570832699312e-12;-2.11576389676951e-12;2011
"77108";18739.6096651121;21535.0807074362;26507.0534853491;29347.6848473565;38070.4442878398;33661.3328997478;21717.1730090886;38569.1896796642;38725.8098262987;44884.1486355778;50228.4536551283;2830.13368913384;40766.4046303729;33340.6216351;28029.6004821687;0.171892389760909;0.0454388456077062;0.175346356065549;0.290747208043904;0.316575200521933;"lognormal";-8.35050601747092e-12;-5.01150269025984e-12;2011
"77111";20579.7888661395;37466.8804882996;48773.9377458604;52107.49188447;67521.5520306528;20579.7888661395;37466.8804882996;48773.9377458604;52107.49188447;67521.5520306528;8009.10648545296;6925.09089154365;3938.77438958932;3948.60269659273;4910.79056003199;0.284068335319825;0.252681764004768;0.126340882002384;0.0313865713150576;0.305522447357966;"gaussian";-6.37834406509869e-13;-4.98638771331441e-12;2011
"77114";33997.4389072018;35501.6841604322;35727.9316450235;38768.9263164465;58418.4714994198;47988.9650780802;47080.265460354;42671.454691669;57568.3043285901;59944.5865826757;47807.7875368437;41007.2067128672;27866.0778399498;63192.9286555835;13791.182663974;0.0452695829094608;0.271108850457782;0.215157680569685;0.310783316378433;0.157680569684639;"lognormal";-7.16577319675787e-12;-8.99998646823315e-13;2011
"77118";20098.7681044489;37410.9685580581;50376.0478413701;54327.6558082253;68660.8926099092;20098.7681044489;37410.9685580581;50376.0478413701;54327.6558082253;68660.8926099092;8295.6012943536;8407.28567804396;5675.30662854016;6693.51913784444;5896.65341092646;0.333840690005074;0.284457973955691;0.0536106883138847;0.17419245729748;0.153898190427871;"gaussian";-2.0883299432638e-12;-3.89697674088802e-12;2011
"77121";22078.5094861239;29792.6553076357;43937.0669873506;56099.7377316952;70137.4521782845;22078.5094861239;29792.6553076357;43937.0669873506;56099.7377316952;70137.4521782845;8858.51556755602;3731.31106993556;9167.35311950743;5019.78636786342;5831.18873138726;0.326485285952249;0.0527484730705164;0.272071071626874;0.157690172126596;0.191004997223765;"gaussian";-7.43598201997998e-12;-8.41091339680172e-12;2011
"77122";17613.4694531232;34624.0156803693;48416.2982399334;59361.4688616206;61964.8496840305;17613.4694531232;34624.0156803693;48416.2982399334;59361.4688616206;61964.8496840305;7870.79295980641;8436.78276648749;5993.10330835915;5054.45974997737;5824.16171175922;0.305325864675024;0.310927358406686;0.186627545123144;0.0281852938561394;0.168933937939006;"gaussian";-1.04375520679847e-12;-5.68622244290543e-12;2011
"77128";19466.7854943534;39447.4133851449;49673.7148534959;60305.7984960546;73839.2691850457;19466.7854943534;39447.4133851449;49673.7148534959;60305.7984960546;73839.2691850457;9202.07194299868;8129.35196588663;2401.42740928931;6073.08821027122;5694.34870864805;0.299;0.258;0.082;0.201;0.16;"gaussian";-3.37708524435362e-13;-8.99801398904318e-12;2011
"77131";16371.2489964093;16724.1004269627;17212.0760191148;18407.0079700088;30082.880309155;37711.9946724673;35147.7472299914;17726.4760026731;58542.6339097048;32671.6212026555;78258.9200388347;64969.3297038798;4366.08388727709;176749.168498916;13842.6106454781;0.0811716700670359;0.0383270183619936;0.277178665112212;0.23462547362285;0.368697172835908;"lognormal";-1.78922256203642e-11;-3.57394519852717e-12;2011
"77132";33514.0929334111;46593.3225567771;46643.3651052418;49094.3268303419;56400.5988153224;40176.4710033185;62175.6675365595;67736.0706019935;69141.0853849569;57904.4502139826;26562.2520983348;54937.1001275775;71329.6747083967;68564.7265315734;13460.5683194467;0.299139167862267;0.19583931133429;0.119799139167862;0.0595408895265423;0.325681492109039;"lognormal";-5.10068874253513e-12;-2.44972582665719e-12;2011
"77139";25448.073537314;40836.5774180634;48051.7712753077;54314.5335624392;69467.0108393314;25448.073537314;40836.5774180634;48051.7712753077;54314.5335624392;69467.0108393314;9958.85817029048;3626.6988732206;6774.26880326907;5252.77440825505;7110.54594182697;0.327312363749611;0.0694487698536281;0.172220492058549;0.167237620678916;0.263780753659296;"gaussian";-6.29317421276134e-12;-9.47168476984902e-12;2011
"77142";18528.4136042976;33012.8883182382;37148.6197832671;40766.8132568412;44317.2586588602;20829.68929328;47806.360161259;52799.0117004759;58270.4255841568;44791.9775184456;10699.0682574024;50071.9626871256;53326.1936608719;59511.9979687968;6573.65566500276;0.20103986135182;0.282495667244367;0.277296360485269;0.176776429809359;0.0623916811091854;"lognormal";-1.85234147268974e-13;-1.30452760219098e-13;2011
"77143";22657.1662488942;42910.1224837058;50113.5340304327;60796.8090434515;61528.7836692955;22657.1662488942;42910.1224837058;50113.5340304327;60796.8090434515;61528.7836692955;9937.11386582116;6152.50053778156;5355.96043134762;5700.16075059359;5970.31540336258;0.358585858585859;0.303030303030303;0.112794612794613;0.0252525252525253;0.2003367003367;"gaussian";-3.68756509522766e-12;-1.02304479620312e-11;2011
"77146";33432.4886495338;38479.022807004;42224.8501049395;42432.0514761538;56255.4052982701;59760.541707886;63337.8366765239;59525.7201274929;47178.8944894667;57738.8780982074;88541.506880772;82811.2311499238;59147.8467756528;22931.7234876107;13347.0538708084;0.069327731092437;0.0661764705882353;0.314075630252101;0.253151260504202;0.297268907563025;"lognormal";-1.35392600389626e-11;-6.55840721486533e-12;2011
"77152";19349.39069055;27544.7791055545;29014.0691619209;31985.9964867729;34547.4459549792;20210.1666933603;86612.6719833572;49036.8929920375;58645.8572801665;36358.3432603882;6094.99549964048;258208.190218866;66813.7883388621;90125.3209171446;11925.4808214227;0.245601545815112;0.32421438014848;0.0456625648327062;0.272755008644361;0.111766500559341;"lognormal";-1.09867516356619e-11;-7.54639867279484e-12;2011
"77153";18727.9839164236;31531.6105259298;34022.2629223415;48367.9361830709;67431.7629718882;18727.9839164236;31531.6105259298;34022.2629223415;48367.9361830709;67431.7629718882;7568.95517541864;6563.51042991125;4924.80277435913;7979.17210730317;5724.50749023935;0.2950745594216;0.147763217352011;0.0422503389064618;0.335969272480795;0.178942611839132;"gaussian";-5.36255833073479e-13;-2.1445880117216e-12;2011
"77155";18574.0547876259;31320.7945902383;45767.630269702;63997.1156669309;65735.754730362;18574.0547876259;31320.7945902383;45767.630269702;63997.1156669309;65735.754730362;7163.53812953208;6401.87089602662;7706.83032003549;5107.06371621784;5876.05221161377;0.276762402088773;0.214099216710183;0.279373368146214;0.0496083550913838;0.180156657963446;"gaussian";-4.5580119752669e-13;-6.29935091811576e-12;2011
"77159";16999.7325577808;27092.4590154685;35643.0297589078;42413.3370883613;55350.0749614212;16999.7325577808;27092.4590154685;35643.0297589078;42413.3370883613;55350.0749614212;7468.23007528975;7119.5516428987;5651.00541998168;5970.03106826373;2300.6331900849;0.361087510620221;0.209005947323704;0.0526762956669499;0.288020390824129;0.0892098555649957;"gaussian";-1.22576577537717e-11;-2.53999740697448e-11;2011
"77166";19601.0867154151;32836.6747161597;34444.7137832046;46940.6969398111;59938.4569460899;19601.0867154151;32836.6747161597;34444.7137832046;46940.6969398111;59938.4569460899;7449.12503349781;4733.20362339914;3431.14689321816;5822.56876371801;3107.3657540828;0.307167235494881;0.129692832764505;0.0409556313993174;0.313993174061433;0.208191126279863;"gaussian";-1.00937020982773e-12;-7.47411139714265e-12;2011
"77168";19812.4144498878;20240.6979743677;39208.7360155148;45833.6418363183;59189.8888294033;19812.4144498878;20240.6979743677;39208.7360155148;45833.6418363183;59189.8888294033;8350.3869729025;8577.9540402942;6744.71062492627;5334.33946099496;2476.30541583978;0.334990059642147;0.201789264413519;0.282306163021869;0.0924453280318091;0.0884691848906561;"gaussian";-1.35818929711785e-11;-2.84403693172833e-11;2011
"77169";26121.2146785745;27730.9753323324;34575.5261860412;40150.2975444741;50558.6849085534;26263.8210531644;32088.6917943438;51094.1589104072;87803.7446627978;52474.5383487034;2748.1322838659;18682.6444160329;55590.8212677373;170764.832344482;14582.1862980378;0.0319275673099833;0.330474148201096;0.168930188229688;0.180605194186324;0.288062902072909;"lognormal";-2.25850301348749e-12;-5.51772252029287e-13;2011
"77171";17767.3407433629;30807.5996402502;37642.38272205;42742.5605796576;56387.8356312811;17767.3407433629;30807.5996402502;37642.38272205;42742.5605796576;56387.8356312811;6943.39297696948;8326.46020068228;6578.80798104405;5218.35965360701;9968.83658803999;0.321573524820481;0.204183577895723;0.129566031845145;0.039025913206369;0.305650952232282;"gaussian";-4.13461331486659e-12;-6.3815181757919e-12;2011
"77175";34556.3409200893;45342.9106771263;46928.5033606756;48199.4614297308;58181.9603051593;65894.9154791942;67345.3933229164;94247.7247753665;51250.0877746652;58790.9735372765;106989.574709544;73956.0595429231;164147.303611431;18520.31400195;8528.61201562832;0.121285140562249;0.108433734939759;0.261044176706827;0.257831325301205;0.25140562248996;"lognormal";-1.92390898743555e-11;-1.73878111407677e-12;2011
"77176";19506.2501050656;24568.2910077873;34206.5103799756;48675.1617402478;60074.128653435;19506.2501050656;24568.2910077873;34206.5103799756;48675.1617402478;60074.128653435;8271.72728189987;3639.87212255811;5906.04308861954;7163.47038724295;4592.3964682268;0.323302469135802;0.0455246913580247;0.213734567901235;0.292438271604938;0.125;"gaussian";-7.52461848437303e-13;-1.28045156758457e-11;2011
"77181";23068.6067740871;42533.5884000464;49285.1374686169;58721.1243396167;71056.5935696213;23068.6067740871;42533.5884000464;49285.1374686169;58721.1243396167;71056.5935696213;9229.58740097964;6725.81096281917;4262.35795254519;4395.11548793183;5953.37398315239;0.343234323432343;0.223597359735974;0.070957095709571;0.145214521452145;0.216996699669967;"gaussian";-1.45987738191232e-12;-5.33141336682349e-12;2011
"77182";17561.2260207696;18749.8266810123;19176.5107977132;25272.5105988666;26151.9048826785;18070.1861663938;113820.051761404;105745.165534072;32704.952278123;50487.9047451103;4381.93771270118;681500.550989131;573442.884386328;26863.369805602;83374.9958990097;0.187224669603524;0.0638766519823789;0.334801762114537;0.376651982378855;0.0374449339207048;"lognormal";-1.11253339306428e-11;-3.65396072434077e-12;2011
"77183";14767.0534621294;21177.1376481587;21350.2558860132;31978.9545383215;46835.3641888695;14767.0534621294;21177.1376481587;21350.2558860132;31978.9545383215;46835.3641888695;7749.26114516936;3774.32592968998;4054.60630022507;6207.44456169453;9149.86524163039;0.384460817146685;0.0509042196918955;0.100915382897968;0.229292252734985;0.234427327528466;"gaussian";-2.10227420190689e-12;-2.5205089273877e-12;2011
"77186";14149.7580161542;21840.335787192;37324.2427921146;56896.501298219;73867.3222104013;14149.7580161542;21840.335787192;37324.2427921146;56896.501298219;73867.3222104013;8316.74226345122;7435.83644515276;7558.52242168784;4324.01834388077;5412.2138350904;0.293694520967248;0.254361799816345;0.267676767676768;0.116008570554025;0.0682583409856137;"gaussian";-2.93684614709895e-12;-4.93015505819652e-12;2011
"77192";16678.6556559467;27582.6102428983;36358.4543093135;44006.6321890926;56495.9347129424;16678.6556559467;27582.6102428983;36358.4543093135;44006.6321890926;56495.9347129424;6787.79481854619;5378.4421883503;6514.11017494602;3091.1202435236;6453.89068086047;0.313427158615443;0.125523012552301;0.253708634461773;0.0699885888170407;0.237352605553442;"gaussian";-3.97442400086279e-13;-3.84945743384322e-12;2011
