"idcom";"medIncome_EMP";"medIncome_OUV";"medIncome_INT";"medIncome_ART";"medIncome_CAD";"avgIncome_EMP";"avgIncome_OUV";"avgIncome_INT";"avgIncome_ART";"avgIncome_CAD";"stdIncome_EMP";"stdIncome_OUV";"stdIncome_INT";"stdIncome_ART";"stdIncome_CAD";"share_EMP";"share_OUV";"share_INT";"share_ART";"share_CAD";"distribution";"optgaussian";"optlognormal";"year"
"75101";18660.0075159857;27314.1491922457;34169.9029942633;36302.0846309117;41885.012769901;63706.9100815736;30413.523720723;39797.4315582934;81560.2406294446;53536.8718590301;207961.81591729;14893.8891943178;23762.3909697089;164090.282788484;42620.2454598162;0.507054096982155;0.205082687097076;0.168831168831169;0.0780155096701859;0.0410165374194151;"lognormal";-4.62136601716159e-11;-6.5425663163706e-13;2011
"75102";17369.6477509693;23929.7107687269;27569.447646306;27570.4500407423;28020.9882719476;57842.6737268754;70231.7037877782;31454.9824747485;31261.4026119085;32498.7368275972;183731.94947335;193790.322078865;17278.3667013796;16708.6014180171;19092.4366038049;0.49463321255213;0.156286319819512;0.0806043617966774;0.209680727421891;0.0587953784097901;"lognormal";-5.70251652500276e-11;-7.63651205976641e-13;2011
"75103";16909.8084387279;25401.5578173275;27845.8014943811;32218.2930354728;33833.916015921;70997.5154320974;55276.1175594545;30468.0914193769;68588.1175759055;41893.7333731013;289511.805491712;106832.803453904;13530.4393175217;128902.409356296;30590.5042448015;0.507013494318182;0.0615678267045455;0.225497159090909;0.0524236505681818;0.153497869318182;"lognormal";-6.32655019324947e-11;-5.89439080241905e-13;2011
"75104";16465.2819611492;16782.5239970371;20149.612755524;31533.7530824475;34259.9925356894;54202.692477999;84691.0545579829;20507.8934867153;36418.9624993512;40693.373700954;170000.053423249;418908.254920631;3884.51178770073;21042.4792768286;26082.6459036656;0.0693044822256569;0.496816074188563;0.040370942812983;0.225347758887172;0.168160741885626;"lognormal";-6.03880345933056e-11;-1.69999318419013e-13;2011
"75105";19064.1784515934;28470.5805375908;28861.9478547291;32651.6292031731;37944.6332006376;80753.349891816;31281.1969739144;65358.7109702097;48545.6379187095;44978.1568736485;332391.819714111;14238.4674125398;132793.886996567;53411.2554072553;28626.9266822658;0.542999088136339;0.219256045027199;0.0471024746093136;0.0412854133257869;0.149356978901362;"lognormal";-9.52878574950087e-11;-4.43744710886335e-13;2011
"75106";19571.9648905494;22411.0776522512;31597.5113881568;36443.9823821384;38471.9564625579;74093.9157142638;67523.0489526547;35642.537417129;82578.2032552508;48041.37539;270535.662422554;191909.938931796;18603.3178108965;167905.590721355;35929.8548421132;0.522007366482505;0.0416206261510129;0.162430939226519;0.079097605893186;0.194843462246777;"lognormal";-6.36729447439177e-11;-1.58296134859189e-13;2011
"75107";19464.2643554657;31762.0372047693;36971.291178233;41816.2507271207;51082.1154505499;63543.1507961593;34937.1873707089;75394.9258106703;58048.2949253806;64394.101645283;197471.535656426;16007.4486098163;133996.853994999;55890.32692499;49424.799697241;0.515223596574691;0.182887046350415;0.169362511893435;0.0834919124643197;0.0490349327171401;"lognormal";-8.2210283645839e-11;-3.88497970845238e-13;2011
"75108";19053.4331482448;33315.9667796035;35374.0812167463;42423.4811241315;42763.3699471108;52863.8994953594;93160.2709197118;43026.9321927417;81736.2115753323;66081.4393018284;136813.30090998;243273.163250318;29793.9222376379;134606.217652418;77849.8405779249;0.500834724540901;0.181181598961232;0.183778519755147;0.0822667408644036;0.0519384158783157;"lognormal";-5.17158084283785e-11;-8.51490937132202e-14;2011
"75109";18468.034848544;28792.6436195505;31635.2809334907;32561.094803726;32666.7839816326;65906.8241576066;31675.3576914959;65334.6952057024;44366.0515974337;68730.6720397853;225778.731109385;14524.5797998303;118059.786772113;41060.4583922638;127231.314001946;0.504928624679018;0.216224424993787;0.0617665737084794;0.162630808736229;0.0544495678824861;"lognormal";-3.97671802503714e-11;-2.42552296597302e-13;2011
"75110";16984.5309078785;25198.5079922051;25942.8945133891;26479.4656404755;40021.0719004028;117440.494436823;139301.104213631;29472.2410308441;30617.00844001;80152.9564326276;803511.764152846;757373.201928944;15887.5189134453;17771.7187534903;139085.198998469;0.422554107968789;0.0997069519471807;0.197931010133107;0.232320022596476;0.0474879073544469;"lognormal";-2.50622209338723e-11;-3.35584152166366e-13;2011
