"id";"medIncome_EMP";"medIncome_OUV";"medIncome_INT";"medIncome_ART";"medIncome_CAD";"avgIncome_EMP";"avgIncome_OUV";"avgIncome_INT";"avgIncome_ART";"avgIncome_CAD";"stdIncome_EMP";"stdIncome_OUV";"stdIncome_INT";"stdIncome_ART";"stdIncome_CAD";"share_EMP";"share_OUV";"share_INT";"share_ART";"share_CAD";"distribution";"optgaussian";"optlognormal"
"95680";5716.42466960847;12770.3366840184;13056.6406419724;13445.4935547411;14346.3477507234;5716.42466960847;12770.3366840184;13056.6406419724;13445.4935547411;14346.3477507234;3147.82051612437;3039.47092914581;6543.33210895956;7793.74746991694;6330.91640606523;0.391550722191411;0.0443201273178848;0.216922668852933;0.291046755564129;0.0561597260736418;"gaussian";-9.4789135089068e-13;-3.18471540527408e-11
"95652";15878.2188778125;16894.0105400932;17359.2102942421;22804.4123111444;29354.0131883959;15878.2188778125;16894.0105400932;17359.2102942421;22804.4123111444;29354.0131883959;7665.09221289569;4902.48026135998;6290.55102956044;8331.61150068209;5684.75407174886;0.276367072162513;0.154009684658084;0.310263375457659;0.0793669540569269;0.179992913664816;"gaussian";-2.62312447516319e-12;-3.1058071893247e-12
"95641";11341.9022134244;15711.6280605346;18002.0080425739;18033.1048541516;24683.818171978;11341.9022134244;15711.6280605346;18002.0080425739;18033.1048541516;24683.818171978;260.123175039887;7545.98089113832;8203.95677053928;784.391469314694;3244.26982843876;0.276067527308838;0.324726911618669;0.243296921549156;0.119165839126117;0.0367428003972195;"gaussian";-7.19415199472052e-11;-1.82573955380836e-10
"95637";10027.3088885651;16114.0726094075;16645.4660585693;19229.7901757242;25721.6585468918;10027.3088885651;16114.0726094075;16645.4660585693;19229.7901757242;25721.6585468918;5746.90883187583;7404.18158449002;7918.77719943458;1372.49541550992;5916.38605911451;0.321658986175115;0.167400580303806;0.289571599249019;0.03963133640553;0.18173749786653;"gaussian";-3.15759445497164e-12;-1.16095168593335e-11
"95612";14456.8975008871;14928.7833845021;16922.4569529915;18689.1023559257;21213.013918788;14456.8975008871;14928.7833845021;16922.4569529915;18689.1023559257;21213.013918788;419.48322423321;7970.31496582939;7375.04299068396;7144.7779004706;825.042648099079;0.0680657969370391;0.349404424276801;0.292115711854793;0.221781055019853;0.0686330119115145;"gaussian";-9.31356002475385e-12;-1.65789384807765e-10
"95607";15548.797039956;16205.8841742224;16600.9317352253;21956.5226054341;26418.1128718541;15548.797039956;16205.8841742224;16600.9317352253;21956.5226054341;26418.1128718541;8510.29199170763;5805.11353167575;9297.47368695802;6673.59230665959;5287.53110398683;0.310756890168655;0.175524475524476;0.310859728506787;0.0388728918140683;0.163986013986014;"gaussian";-2.17803352880969e-12;-1.48808257762782e-11
"95604";13372.0993509165;13651.2560732675;18345.0298954156;19122.3763798247;27949.4380544986;13372.0993509165;13651.2560732675;18345.0298954156;19122.3763798247;27949.4380544986;6835.72909534923;6563.63329560468;2877.75609149731;906.390131902118;7217.46734264484;0.331096196868009;0.237136465324385;0.105704697986577;0.0486577181208054;0.277404921700224;"gaussian";-4.91717376676272e-11;-5.49880466611499e-11
"95598";8320.96794247627;12919.1605058312;19232.398987785;20964.5461988598;30950.3969809264;8320.96794247627;12919.1605058312;19232.398987785;20964.5461988598;30950.3969809264;3635.92164167762;6690.28768776357;6705.7135039866;3749.32546146214;7727.8667768687;0.154220725077544;0.266050762098523;0.309708835006504;0.0603675416069106;0.209652136210519;"gaussian";-7.28315158717597e-12;-7.76001751361474e-12
"95585";5258.03755599518;11444.6891578156;11636.5096936322;11731.6525933802;20742.4123640248;5258.03755599518;11444.6891578156;11636.5096936322;11731.6525933802;20742.4123640248;3070.7045993406;2086.667605026;6953.54771874315;6875.31430180846;4742.0015186202;0.401365514763131;0.0473618015212314;0.209941905731569;0.272695693837216;0.0686350841468527;"gaussian";-2.98213668866224e-12;-8.72354821538454e-12
"95582";11763.6530940566;13463.7658699917;13652.9063185052;14122.7045911502;20117.5173963908;24532.8668678808;14862.5641364042;25990.2856840871;23330.2745690448;20750.566905464;44897.3456358608;6948.64122916971;42099.9626503637;30677.3381547646;5246.46233108444;0.0483999831798495;0.173857281022665;0.316618308733863;0.170346074597368;0.290778352466255;"lognormal";-1.1041608242457e-11;-1.01243942439856e-11
"95574";12809.0121239275;21455.9187692106;22501.0245236009;32764.7220786512;37201.0783779025;12809.0121239275;21455.9187692106;22501.0245236009;32764.7220786512;37201.0783779025;7745.95534181595;8375.39228506386;5550.35343365371;6331.36710874736;4899.8032181561;0.286797573435504;0.23507343550447;0.27147190293742;0.0852490421455939;0.121408045977011;"gaussian";-1.12311408281085e-12;-1.4161006045978e-12
"95572";4386.0838902106;12878.9372830261;14892.0457689552;14964.8940905763;15376.1652823741;4386.0838902106;12878.9372830261;14892.0457689552;14964.8940905763;15376.1652823741;2681.77377261671;2597.83666471769;9065.36473553144;7904.25111424766;7997.10442833215;0.273356770001065;0.0348354106743368;0.335091083413231;0.24712368168744;0.109593054223927;"gaussian";-6.1016920468772e-12;-9.44937792720546e-12
"95566";14446.1997203184;17398.5210188327;22850.0326081332;23513.7963967027;24153.6932700877;14446.1997203184;17398.5210188327;22850.0326081332;23513.7963967027;24153.6932700877;6494.7970781413;7291.03166425147;375.803139729129;7177.63469896597;6037.90677641623;0.303655913978495;0.325376344086022;0.0273118279569892;0.188387096774194;0.155268817204301;"gaussian";-1.07029550315812e-11;-4.76121768188051e-11
"95563";14493.1844966066;15526.4809695741;17091.1252171634;18842.8148112573;22655.8034413024;25446.51822375;20711.3888466224;21967.5866831706;21175.1492365771;23409.1423511975;36723.1664113624;18284.7084351209;17738.7514897389;10856.8442120932;6086.76474252061;0.121247113163972;0.0591079676674365;0.26421766743649;0.242710739030023;0.312716512702079;"lognormal";-9.92058139239379e-12;-9.88708927934377e-12
"95555";10960.9688657094;12884.6157608276;19311.5863802987;28274.1764804812;28618.7991862594;10960.9688657094;12884.6157608276;19311.5863802987;28274.1764804812;28618.7991862594;7679.49546813341;7657.24159374702;4063.22105531261;3344.96688051767;3651.99036976435;0.310146008433493;0.283612059321305;0.192335274375377;0.0448925733627836;0.169014084507042;"gaussian";-1.9055921940238e-12;-7.50695771740087e-12
"95539";11624.1769519523;18504.1546265584;18686.4808620551;23136.7530160192;26141.5246890574;11624.1769519523;18504.1546265584;18686.4808620551;23136.7530160192;26141.5246890574;6491.96402323688;7396.1637639424;639.580624337897;1773.51565070279;6184.46337110433;0.300285335369529;0.316521319776554;0.156813889000522;0.0498734075473215;0.176506048306072;"gaussian";-1.98536156408708e-12;-6.63094934126787e-11
"95527";13566.598585881;16438.8020545202;17511.1173418724;18295.5109477278;24736.2782499349;13566.598585881;16438.8020545202;17511.1173418724;18295.5109477278;24736.2782499349;201.203784532845;7168.20737184587;747.753891849938;7382.70695982134;2553.60829958967;0.286838066001535;0.398311588641596;0.0823100537221796;0.202609363008442;0.0299309286262471;"gaussian";-3.44051214725984e-11;-1.42319832710628e-10
