ANNEE;Achat;Heritage_donation;Total
1996;5572;644;6216
1999;8881;952;9833
2003;7833;794;8627
2004;2545;294;2839
2005;2581;249;2930
2006;2559;296;2855
2007;2752;348;3100
2008;2710;301;3011
2009;2752;299;3051
2010;2487;145;2632
2011;2332;127;2459
2012;6787;372;7159
Ante_95;21861;3217;25078
